,ZS,NET,ADSK,PLUG,CRWD,SHOP,MELI,AXON,ADBE,BAC,VRT,SMCI,AAPL,PYPL,MSFT,TSLA,NFLX,FTNT,AMZN,CDNS,INTC,TXN,ON,LLY,JPM,META,TTD,STX,MCHP,AMAT,WDAY,OKTA,GE,AVGO,DDOG,MDB,ADI,TSM,SE,AMD,SWKS,SEDG,SNPS,COST,NVDA,TER,ORCL,MPWR,NOW,GOOGL,MRVL,EBAY,ASML,CRM,SPOT,GS,MU,ANET,BA,KLAC,PFE,HUBS,SAP,LRCX,INTU,BKNG,TEAM,VRSN,TWLO,IBM,VST,NXPI,WDC,AKAM,CSCO,PINS,SNAP,QCOM,DELL,OXY,PANW,UBER,SNOW,PLTR,DASH,ABNB,SOFI,RBLX,COIN,APP,HOOD,NU,ARM
2020-01-17,0.8555,0.5061,0.4274,0.497,0.828,0.7598,0.4726,0.45,0.6037,0.2104,0.2829,0.8646,0.6457,0.6128,0.697,0.7567,0.511,0.5585,0.253,0.4079,0.3165,0.4067,0.3549,0.4738,0.3415,0.5537,0.4829,0.3543,0.2701,0.3585,0.4335,0.3634,0.3829,0.364,0.4439,0.411,0.314,0.2116,0.6451,0.8037,0.5335,0.4439,0.6561,0.4476,0.4665,0.3951,0.2866,0.3976,0.7896,0.7622,0.7921,0.4354,0.3811,0.4909,0.1482,0.5573,0.4396,0.8012,0.2183,0.4915,0.4213,0.6573,0.3805,0.6567,0.6512,0.2933,0.5091,0.5683,0.6774,0.3945,0.1189,0.5244,0.4665,0.4909,0.6098,0.9476,0.9604,0.8049,0.3311,0.5335,0.4323,0.6494,,,,,,,,,,,
2020-01-21,0.7037,0.1043,0.5872,0.9317,0.7585,0.8744,0.4732,0.6287,0.5116,0.186,0.4445,0.5659,0.4756,0.5439,0.6207,0.8482,0.3835,0.4793,0.4012,0.6073,0.5439,0.4555,0.2104,0.6384,0.1665,0.4726,0.289,0.4232,0.2939,0.4598,0.489,0.389,0.214,0.3415,0.4841,0.4329,0.3848,0.2659,0.6268,0.7695,0.3177,0.8159,0.6866,0.7378,0.2341,0.6396,0.3567,0.4018,0.7841,0.7591,0.4622,0.3811,0.2963,0.6695,0.3201,0.3878,0.6524,0.6683,0.2152,0.5067,0.4927,0.5872,0.4,0.572,0.739,0.2537,0.3482,0.6421,0.5018,0.55,0.2,0.4872,0.5549,0.5506,0.4305,0.8537,0.797,0.6518,0.2232,0.4079,0.5323,0.9512,,,,,,,,,,,
2020-01-22,0.6591,0.1024,0.5104,0.6695,0.7524,0.8537,0.6317,0.8854,0.4817,0.1756,0.4341,0.814,0.6006,0.4061,0.5201,0.9427,0.2305,0.5726,0.4104,0.5463,0.7213,0.5555,0.175,0.4201,0.1567,0.4963,0.3811,0.303,0.2305,0.489,0.5884,0.3165,0.2585,0.414,0.661,0.4909,0.3396,0.2848,0.9268,0.7732,0.511,0.7055,0.5872,0.5921,0.4104,0.7146,0.2006,0.3701,0.7311,0.6634,0.4671,0.3884,0.3122,0.5305,0.2835,0.428,0.6317,0.6043,0.2079,0.4128,0.2957,0.6805,0.4079,0.5841,0.8195,0.2262,0.4427,0.6628,0.5439,0.753,0.1512,0.5122,0.4262,0.572,0.4659,0.7646,0.85,0.4756,0.1762,0.4555,0.4652,0.8348,,,,,,,,,,,
2020-01-23,0.4896,0.1695,0.7159,0.4384,0.5622,0.8335,0.4305,0.697,0.5311,0.1726,0.503,0.6091,0.5799,0.6372,0.4207,0.8835,0.5915,0.6421,0.2963,0.5744,0.7622,0.5652,0.4366,0.4177,0.2085,0.3274,0.1774,0.5945,0.353,0.4896,0.6348,0.3884,0.4085,0.536,0.7262,0.3384,0.4463,0.2543,0.8506,0.7244,0.7421,0.7159,0.6854,0.5067,0.4909,0.864,0.2171,0.4329,0.5445,0.5774,0.5177,0.2659,0.2476,0.5573,0.1738,0.4037,0.6409,0.8543,0.2037,0.4207,0.3951,0.5573,0.3159,0.5951,0.714,0.1726,0.5152,0.4713,0.639,0.5598,0.2262,0.5732,0.8622,0.4988,0.3189,0.747,0.814,0.4305,0.1543,0.3079,0.3518,0.7994,,,,,,,,,,,
2020-01-24,0.4732,0.175,0.75,0.4396,0.4646,0.7902,0.4451,0.797,0.5421,0.1713,0.7628,0.6317,0.6646,0.5945,0.447,0.7817,0.7409,0.5268,0.372,0.5256,0.9238,0.4128,0.3768,0.3909,0.2372,0.3976,0.3701,0.7043,0.2695,0.3085,0.7232,0.5817,0.4043,0.622,0.7354,0.5683,0.2866,0.3384,0.8951,0.625,0.3909,0.8091,0.6768,0.5823,0.5543,0.6104,0.1805,0.5494,0.5616,0.5689,0.1866,0.3067,0.3573,0.5317,0.1598,0.3134,0.4799,0.9159,0.3067,0.2817,0.3451,0.6896,0.4841,0.4726,0.6366,0.2274,0.9677,0.4774,0.7104,0.5506,0.0835,0.55,0.5976,0.5128,0.3232,0.5317,0.8622,0.2476,0.1628,0.247,0.4963,0.7329,,,,,,,,,,,
2020-01-27,0.4811,0.4354,0.7585,0.4421,0.4159,0.7183,0.5451,0.7305,0.6732,0.2463,0.9171,0.7146,0.5646,0.6244,0.5311,0.8171,0.6067,0.5811,0.4043,0.5317,0.8171,0.347,0.2921,0.5744,0.2963,0.475,0.4524,0.5573,0.1963,0.2878,0.7024,0.6049,0.3811,0.5256,0.6677,0.6329,0.2384,0.2439,0.7457,0.4805,0.2274,0.3726,0.6268,0.6909,0.4488,0.5079,0.2902,0.3524,0.6457,0.5043,0.1476,0.5378,0.3128,0.6567,0.2945,0.361,0.3866,0.903,0.3555,0.2957,0.647,0.7091,0.547,0.3695,0.5994,0.247,0.9159,0.561,0.7341,0.5841,0.125,0.5476,0.5506,0.5884,0.4043,0.5945,0.5982,0.222,0.2726,0.2604,0.475,0.7713,,,,,,,,,,,
2020-01-28,0.3945,0.5506,0.6768,0.5177,0.4396,0.7207,0.7421,0.6213,0.6976,0.1909,0.8933,0.6287,0.7317,0.5829,0.5329,0.7732,0.6372,0.664,0.297,0.5537,0.8695,0.3213,0.3415,0.4476,0.35,0.4713,0.6189,0.5835,0.1738,0.2768,0.6902,0.5896,0.6287,0.572,0.7067,0.6817,0.3024,0.3652,0.7012,0.6488,0.261,0.5902,0.5488,0.4555,0.6055,0.5018,0.314,0.3848,0.6628,0.4713,0.1866,0.5994,0.3659,0.5024,0.1433,0.5079,0.3329,0.7817,0.3372,0.3616,0.261,0.6396,0.2963,0.4579,0.5713,0.2567,0.9646,0.4854,0.8957,0.4378,0.0713,0.4988,0.5841,0.5616,0.3091,0.6134,0.7122,0.2872,0.2896,0.1701,0.3152,0.7189,,,,,,,,,,,
2020-01-29,0.497,0.3207,0.6067,0.6518,0.5061,0.8091,0.6787,0.5567,0.5537,0.214,0.8652,0.5939,0.8207,0.6933,0.7012,0.8659,0.6543,0.6177,0.3744,0.4604,0.6988,0.2293,0.3226,0.525,0.3421,0.7567,0.5817,0.3835,0.1104,0.2573,0.6354,0.8037,0.9366,0.5518,0.8646,0.9085,0.2683,0.4037,0.6476,0.3774,0.1482,0.4817,0.5055,0.5146,0.4951,0.2902,0.3378,0.3213,0.725,0.4988,0.2134,0.3549,0.5756,0.547,0.239,0.4671,0.2811,0.7238,0.6226,0.2287,0.25,0.5963,0.3409,0.4079,0.5055,0.2189,0.8921,0.6024,0.8268,0.3018,0.3884,0.5213,0.3744,0.5878,0.2909,0.7116,0.7067,0.2982,0.2457,0.1482,0.3744,0.6921,,,,,,,,,,,
2020-01-30,0.5378,0.5933,0.6268,0.7091,0.7183,0.7598,0.6476,0.4488,0.639,0.3488,0.6451,0.6878,0.6713,0.6518,0.8128,0.9671,0.5055,0.5957,0.5616,0.3683,0.675,0.2427,0.3201,0.7268,0.4037,0.4287,0.4701,0.275,0.1335,0.3549,0.7299,0.847,0.7933,0.3646,0.8982,0.9671,0.2146,0.2921,0.6384,0.439,0.1884,0.3854,0.5598,0.3915,0.4305,0.2165,0.3146,0.3988,0.936,0.5018,0.2018,0.4299,0.5006,0.6622,0.211,0.5549,0.3409,0.6707,0.4671,0.2963,0.214,0.6915,0.3457,0.6683,0.5189,0.2213,0.7756,0.5396,0.7494,0.3683,0.3726,0.372,0.4598,0.4793,0.2982,0.6024,0.5171,0.303,0.3311,0.2823,0.3976,0.6226,,,,,,,,,,,
2020-01-31,0.5872,0.6006,0.6396,0.6683,0.7439,0.7695,0.6555,0.3701,0.7378,0.4,0.8043,0.5348,0.55,0.539,0.7915,0.8427,0.4805,0.6848,0.8652,0.578,0.3994,0.2396,0.2287,0.6872,0.4707,0.386,0.3841,0.2628,0.1665,0.3159,0.622,0.6677,0.6762,0.247,0.803,0.7896,0.2866,0.2695,0.6811,0.2738,0.1677,0.2238,0.4701,0.5695,0.4079,0.2024,0.4159,0.3409,0.8671,0.6201,0.1055,0.3604,0.3476,0.675,0.3884,0.5409,0.2829,0.5537,0.3945,0.2043,0.4433,0.6073,0.3683,0.5354,0.5591,0.2616,0.7,0.6409,0.8091,0.8421,0.6341,0.4427,0.5073,0.5902,0.3287,0.6512,0.5543,0.3585,0.3665,0.3543,0.4183,0.6878,,,,,,,,,,,
2020-02-03,0.6085,0.4067,0.5451,0.5622,0.6957,0.7713,0.7006,0.4018,0.7445,0.3503,0.5671,0.597,0.5293,0.639,0.8274,0.9976,0.7122,0.5268,0.7598,0.5177,0.3921,0.3305,0.2098,0.6787,0.3634,0.2573,0.5061,0.3659,0.0878,0.5128,0.7177,0.6384,0.5555,0.2366,0.8238,0.7451,0.2457,0.3207,0.7817,0.314,0.2287,0.5933,0.5646,0.4439,0.4604,0.3037,0.4768,0.4488,0.8707,0.7994,0.128,0.3201,0.4768,0.7262,0.5146,0.457,0.2811,0.4415,0.2091,0.3598,0.1939,0.5756,0.2671,0.7274,0.4872,0.2348,0.7006,0.4762,0.9049,0.8207,0.4616,0.3665,0.5756,0.4409,0.297,0.6744,0.5207,0.3701,0.3829,0.1488,0.4494,0.775,,,,,,,,,,,
2020-02-04,0.6829,0.3713,0.5061,0.389,0.7104,0.7354,0.8159,0.7616,0.7165,0.3049,0.5805,0.6189,0.4744,0.6049,0.8402,0.9951,0.6744,0.5463,0.7305,0.4421,0.3549,0.2524,0.2085,0.5256,0.236,0.2439,0.797,0.3244,0.2762,0.6951,0.7482,0.7354,0.5085,0.172,0.7817,0.8646,0.2317,0.4598,0.7317,0.261,0.2098,0.6896,0.6854,0.3122,0.361,0.3232,0.4024,0.4549,0.85,0.425,0.1677,0.6683,0.5067,0.5159,0.5963,0.3311,0.286,0.4043,0.1622,0.5366,0.3067,0.5384,0.3341,0.8463,0.5915,0.214,0.6067,0.5067,0.8579,0.7122,0.3341,0.4238,0.4152,0.4598,0.2195,0.5787,0.6506,0.3646,0.5402,0.0951,0.2854,0.8201,,,,,,,,,,,
2020-02-05,0.6146,0.4945,0.4476,0.5037,0.5707,0.5817,0.5256,0.6579,0.7061,0.5488,0.4585,0.6171,0.3756,0.6165,0.8433,0.9287,0.6939,0.5671,0.7061,0.4848,0.5872,0.6646,0.2512,0.7415,0.3988,0.1329,0.486,0.2195,0.5982,0.6445,0.6238,0.4659,0.364,0.2707,0.7445,0.6616,0.4433,0.2323,0.5762,0.5104,0.2726,0.4012,0.5963,0.375,0.4049,0.3659,0.4884,0.7159,0.8622,0.3299,0.4488,0.7006,0.5896,0.5256,0.4951,0.4213,0.3543,0.4488,0.2951,0.2976,0.447,0.3402,0.525,0.7963,0.453,0.3902,0.4622,0.4232,0.8146,0.9555,0.1854,0.5146,0.3177,0.389,0.4915,0.4354,0.2348,0.5848,0.5689,0.3799,0.3006,0.5415,,,,,,,,,,,
2020-02-06,0.5079,0.214,0.711,0.5774,0.4262,0.5354,0.4457,0.8268,0.6884,0.4354,0.7287,0.5579,0.4793,0.4713,0.8427,0.9762,0.6043,0.6537,0.7463,0.3915,0.5555,0.5201,0.1713,0.6707,0.3323,0.2091,0.5018,0.2378,0.4939,0.4921,0.3878,0.389,0.6326,0.4506,0.4582,0.4482,0.2841,0.3555,0.5372,0.4,0.2427,0.261,0.4768,0.4878,0.5872,0.4683,0.4488,0.5232,0.553,0.5476,0.3354,0.8293,0.5854,0.4567,0.6018,0.2238,0.6402,0.5006,0.6732,0.2811,0.397,0.3366,0.4201,0.6165,0.6134,0.4604,0.4982,0.603,0.4866,0.9122,0.1829,0.5177,0.3549,0.514,0.3982,0.8756,0.3402,0.5561,0.772,0.3189,0.5994,0.6543,,,,,,,,,,,
2020-02-07,0.5927,0.4957,0.7195,0.6512,0.4787,0.547,0.3396,0.722,0.636,0.439,0.5506,0.6201,0.503,0.5177,0.8744,0.8354,0.6415,0.4451,0.6866,0.3555,0.5976,0.4854,0.1689,0.5976,0.3329,0.4012,0.6524,0.1909,0.5085,0.5262,0.6671,0.522,0.6024,0.4012,0.6073,0.4262,0.2177,0.3073,0.6323,0.622,0.2622,0.2287,0.5262,0.5512,0.5829,0.4537,0.4976,0.6037,0.5518,0.4915,0.2524,0.6841,0.6872,0.4171,0.6195,0.2817,0.5445,0.6061,0.4628,0.2354,0.3183,0.272,0.3073,0.6457,0.6122,0.3488,0.436,0.3073,0.5482,0.8134,0.3043,0.5049,0.261,0.5335,0.5335,0.9878,0.2445,0.3165,0.7091,0.3232,0.5323,0.9817,,,,,,,,,,,
2020-02-10,0.6823,0.6189,0.5866,0.7402,0.6195,0.7799,0.3262,0.9256,0.6421,0.3902,0.5841,0.589,0.5,0.464,0.9128,0.6152,0.5909,0.4659,0.8604,0.4262,0.6573,0.411,0.2317,0.5707,0.3244,0.3518,0.6585,0.172,0.4988,0.5268,0.5049,0.6378,0.6134,0.4341,0.7732,0.453,0.2982,0.2921,0.5073,0.822,0.2165,0.3171,0.5793,0.6354,0.8494,0.403,0.411,0.5335,0.5543,0.5098,0.2506,0.4854,0.5518,0.4817,0.261,0.2244,0.5049,0.6555,0.6189,0.3226,0.1835,0.4604,0.2262,0.5506,0.686,0.2756,0.5482,0.3116,0.4616,0.7652,0.1799,0.4957,0.2372,0.4561,0.5994,0.9043,0.2268,0.2799,0.675,0.1854,0.4951,0.8713,,,,,,,,,,,
2020-02-11,0.5055,0.5561,0.5427,0.7415,0.803,0.703,0.2482,0.8366,0.5366,0.4427,0.6073,0.4274,0.3171,0.3226,0.7579,0.4323,0.5378,0.2866,0.8689,0.5628,0.7378,0.4439,0.4915,0.4116,0.3622,0.2774,0.4018,0.1738,0.5665,0.572,0.4085,0.5451,0.5348,0.5951,0.6146,0.3805,0.5756,0.3665,0.5823,0.8982,0.2927,0.45,0.5872,0.5646,0.8628,0.5195,0.4793,0.6585,0.4482,0.686,0.5091,0.3732,0.7085,0.4445,0.1976,0.1756,0.5293,0.5738,0.6201,0.286,0.2646,0.3256,0.2756,0.5506,0.5835,0.3555,0.3933,0.2604,0.2726,0.6793,0.7,0.5896,0.347,0.522,0.6159,0.8439,0.1293,0.386,0.6841,0.378,0.4933,0.9073,,,,,,,,,,,
2020-02-12,0.461,0.2634,0.5573,0.822,0.7561,0.9811,0.7457,0.8707,0.6171,0.2409,0.3061,0.4018,0.4896,0.322,0.7201,0.6744,0.5915,0.1829,0.7384,0.7098,0.4768,0.2317,0.1378,0.2945,0.2128,0.2348,0.7659,0.2457,0.2689,0.5805,0.647,0.7091,0.6366,0.436,0.9457,0.7037,0.3378,0.3439,0.5951,0.7659,0.4591,0.7433,0.6128,0.4476,0.8488,0.375,0.3738,0.5293,0.6762,0.6323,0.128,0.3841,0.5439,0.4811,0.2043,0.1287,0.6585,0.6274,0.5091,0.3445,0.1683,0.6268,0.2323,0.6878,0.5659,0.2939,0.7415,0.2848,0.3104,0.5043,0.5598,0.5073,0.4732,0.4994,0.6146,0.7573,0.3738,0.3756,0.689,0.2555,0.4268,0.822,,,,,,,,,,,
2020-02-13,0.6049,0.4293,0.4543,0.6152,0.672,0.9457,0.8476,0.7951,0.5963,0.261,0.4774,0.4506,0.3213,0.4207,0.5841,0.9317,0.6341,0.2451,0.7012,0.8604,0.4951,0.3457,0.3043,0.2512,0.264,0.3165,0.5957,0.2537,0.3793,0.8451,0.5726,0.561,0.4457,0.4317,0.8561,0.7506,0.4817,0.3805,0.8756,0.8396,0.5091,0.7317,0.7085,0.5098,0.8171,0.4177,0.3762,0.6774,0.7829,0.4494,0.097,0.2744,0.5293,0.364,0.1689,0.1378,0.5049,0.7207,0.3012,0.4567,0.1091,0.8451,0.2171,0.8518,0.4982,0.2073,0.7695,0.2537,0.7537,0.4445,0.447,0.425,0.3768,0.6091,0.2756,0.5762,0.3128,0.197,0.3768,0.1945,0.3732,0.7573,,,,,,,,,,,
2020-02-14,0.5622,0.2701,0.4933,0.5067,0.6317,0.8963,0.8963,0.836,0.6585,0.2787,0.6488,0.3805,0.3811,0.6116,0.5348,0.7951,0.6,0.3835,0.5671,0.7494,0.5305,0.3811,0.339,0.2201,0.2823,0.2293,0.6628,0.2476,0.3372,0.7384,0.5909,0.6378,0.3854,0.3939,0.6317,0.8134,0.4878,0.4201,0.8896,0.8652,0.4348,0.7555,0.7811,0.3896,0.9805,0.2677,0.3884,0.7104,0.6799,0.4634,0.3061,0.675,0.5537,0.5116,0.1652,0.164,0.472,0.3762,0.3396,0.4439,0.1439,0.8311,0.2689,0.7018,0.6232,0.5085,0.6646,0.4177,0.5591,0.4957,0.5256,0.4524,0.4262,0.5762,0.278,0.3311,0.2457,0.2805,0.4652,0.1457,0.3768,0.5573,,,,,,,,,,,
2020-02-18,0.7988,0.272,0.5171,0.9573,0.6415,0.8622,0.8274,0.6854,0.6439,0.3079,0.8396,0.2238,0.3957,0.5073,0.5421,0.8341,0.6866,0.5317,0.5921,0.7207,0.4494,0.3598,0.2841,0.2909,0.272,0.4415,0.6616,0.222,0.1811,0.6366,0.7579,0.5854,0.422,0.3945,0.5878,0.9378,0.6262,0.303,0.9506,0.8555,0.2988,0.6591,0.6841,0.5988,0.9756,0.2573,0.4256,0.4213,0.678,0.4104,0.2896,0.6817,0.3866,0.5744,0.2512,0.236,0.4006,0.3677,0.3384,0.3335,0.1079,0.7427,0.361,0.6073,0.5677,0.4317,0.65,0.4018,0.5915,0.403,0.6354,0.3189,0.286,0.7518,0.1866,0.1573,0.1848,0.1951,0.5323,0.4293,0.5354,0.547,,,,,,,,,,,
2020-02-19,0.7793,0.3805,0.6585,0.9902,0.5579,0.7671,0.8183,0.7098,0.7354,0.3427,0.7909,0.2055,0.4238,0.5652,0.6439,0.9366,0.6122,0.3256,0.5323,0.7457,0.4555,0.4567,0.1421,0.2902,0.3274,0.4146,0.8189,0.1024,0.3512,0.6884,0.6726,0.6823,0.4177,0.378,0.6201,0.8774,0.7226,0.3183,0.9305,0.861,0.2787,0.9683,0.7268,0.5311,0.9634,0.111,0.3671,0.3774,0.65,0.3829,0.1622,0.4415,0.5555,0.5372,0.1512,0.3079,0.6079,0.2817,0.3988,0.3006,0.0811,0.7238,0.3841,0.622,0.5354,0.3293,0.7073,0.4945,0.4732,0.375,0.2488,0.3207,0.3378,0.7317,0.2256,0.4024,0.0835,0.3049,0.6457,0.4207,0.4354,0.4665,,,,,,,,,,,
2020-02-20,0.8402,0.9335,0.5848,0.936,0.411,0.7152,0.8323,0.5866,0.736,0.5085,0.7543,0.2909,0.3341,0.6884,0.6762,0.7878,0.6835,0.4579,0.5988,0.553,0.4085,0.2817,0.2018,0.4457,0.4073,0.4067,0.772,0.197,0.2695,0.586,0.5098,0.7439,0.3933,0.2402,0.4848,0.8317,0.697,0.1726,0.9354,0.8061,0.1128,0.9848,0.4091,0.5982,0.9104,0.097,0.4372,0.2732,0.7183,0.4488,0.2091,0.5549,0.5427,0.7134,0.4713,0.2787,0.3628,0.3951,0.4049,0.2232,0.2372,0.6457,0.3598,0.4634,0.5287,0.3799,0.5128,0.4841,0.5756,0.3951,0.453,0.3207,0.275,0.728,0.2201,0.4183,0.1506,0.2841,0.5488,0.4756,0.6457,0.5518,,,,,,,,,,,
2020-02-21,0.2488,0.9549,0.5896,0.9695,0.2951,0.6024,0.7878,0.6268,0.7384,0.597,0.772,0.4543,0.3683,0.5561,0.6799,0.8018,0.6415,0.247,0.6793,0.3299,0.4311,0.3671,0.2152,0.5951,0.5622,0.397,0.6146,0.25,0.2482,0.4335,0.4585,0.65,0.403,0.247,0.5067,0.7189,0.7018,0.2537,0.9238,0.628,0.1451,0.9695,0.3317,0.764,0.911,0.0872,0.5945,0.214,0.7183,0.5726,0.2238,0.7598,0.5774,0.7207,0.5409,0.3689,0.339,0.328,0.4591,0.2171,0.3518,0.3774,0.4463,0.3835,0.7183,0.4037,0.4659,0.4689,0.3872,0.5213,0.6866,0.3091,0.2579,0.6841,0.3835,0.3043,0.1384,0.3726,0.5482,0.5683,0.6311,0.703,,,,,,,,,,,
2020-02-24,0.2079,0.8311,0.522,0.8701,0.3018,0.5768,0.5793,0.7055,0.689,0.5994,0.7817,0.4457,0.3939,0.6561,0.6695,0.7415,0.7073,0.2598,0.7207,0.3665,0.2427,0.4043,0.0982,0.7232,0.686,0.3738,0.4957,0.35,0.3695,0.4049,0.3854,0.522,0.5024,0.3091,0.7195,0.4921,0.672,0.386,0.8817,0.3274,0.3744,0.8402,0.4134,0.7226,0.7768,0.2921,0.5579,0.2134,0.6122,0.4744,0.1921,0.7549,0.4628,0.8549,0.636,0.503,0.4902,0.3774,0.4561,0.2341,0.3976,0.4555,0.425,0.3939,0.6805,0.2921,0.6268,0.55,0.3659,0.6921,0.7061,0.325,0.222,0.6695,0.4171,0.3646,0.1811,0.3445,0.3317,0.4707,0.7195,0.6585,,,,,,,,,,,
2020-02-25,0.197,0.9494,0.4585,0.8872,0.4238,0.4707,0.3945,0.5976,0.686,0.5073,0.8061,0.4774,0.4482,0.4598,0.6793,0.6793,0.6902,0.3671,0.7079,0.3299,0.4079,0.4268,0.1049,0.625,0.6445,0.3305,0.4165,0.3366,0.411,0.475,0.3677,0.4396,0.4427,0.3921,0.8555,0.4183,0.7622,0.7256,0.7927,0.3512,0.3476,0.8128,0.3896,0.7183,0.6585,0.3512,0.5793,0.3146,0.6585,0.5494,0.3341,0.7177,0.6067,0.8378,0.6738,0.553,0.4396,0.3701,0.4421,0.1909,0.453,0.4829,0.4512,0.4872,0.839,0.303,0.7463,0.4299,0.2488,0.6738,0.8006,0.4195,0.1732,0.5537,0.489,0.4561,0.3067,0.4226,0.3085,0.2677,0.2189,0.4793,,,,,,,,,,,
2020-02-26,0.1756,0.9902,0.6378,0.5287,0.5207,0.4963,0.4396,0.6585,0.7354,0.4494,0.5982,0.5232,0.5128,0.4549,0.7604,0.4451,0.9421,0.4018,0.7177,0.4073,0.3695,0.4896,0.1287,0.6738,0.6884,0.3604,0.325,0.4128,0.3616,0.5902,0.4067,0.7226,0.4091,0.3848,0.7122,0.4463,0.6994,0.7226,0.5902,0.3665,0.2829,0.8689,0.4287,0.7116,0.6183,0.2933,0.778,0.2683,0.7152,0.6159,0.2555,0.7189,0.5146,0.7561,0.6262,0.4488,0.3567,0.2671,0.5518,0.2085,0.6585,0.597,0.5341,0.5561,0.6957,0.289,0.7006,0.6329,0.2835,0.647,0.8079,0.3872,0.2049,0.539,0.4756,0.2232,0.2774,0.3238,0.3909,0.2305,0.2061,0.2976,,,,,,,,,,,
2020-02-27,0.1835,0.9439,0.5079,0.4415,0.6616,0.3439,0.2476,0.7427,0.728,0.4213,0.7061,0.6226,0.3604,0.6335,0.5963,0.4207,0.9305,0.514,0.6726,0.4012,0.3476,0.5238,0.1329,0.5994,0.6061,0.3598,0.3409,0.3317,0.3055,0.5726,0.7207,0.7067,0.1683,0.4427,0.9665,0.4433,0.5415,0.6652,0.6982,0.3409,0.2348,0.7866,0.4884,0.75,0.5451,0.3604,0.786,0.2811,0.7183,0.4457,0.2024,0.7152,0.586,0.6963,0.636,0.4774,0.4348,0.1896,0.4512,0.5598,0.7402,0.6726,0.8,0.5805,0.6774,0.4372,0.7835,0.5933,0.3963,0.6207,0.6183,0.3098,0.1317,0.5323,0.3811,0.3616,0.2049,0.3061,0.3555,0.2152,0.2549,0.2878,,,,,,,,,,,
2020-02-28,0.5329,0.7823,0.8189,0.5006,0.6659,0.5671,0.3293,0.7622,0.7909,0.2963,0.586,0.3994,0.3744,0.5994,0.6616,0.3945,0.8341,0.4305,0.6646,0.4963,0.322,0.536,0.3689,0.3939,0.3305,0.5799,0.9134,0.2756,0.3713,0.6439,0.7049,0.7476,0.4348,0.4006,0.7006,0.5037,0.6945,0.7457,0.4878,0.4116,0.4006,0.5768,0.6134,0.4921,0.8006,0.3421,0.6427,0.361,0.6909,0.561,0.3549,0.6177,0.5689,0.5494,0.6354,0.2945,0.6561,0.1909,0.303,0.6305,0.6061,0.7439,0.6165,0.6439,0.5707,0.4226,0.7695,0.5195,0.4409,0.5165,0.2927,0.3037,0.1774,0.4104,0.3348,0.2622,0.114,0.472,0.2195,0.2091,0.1585,0.3591,,,,,,,,,,,
2020-03-02,0.4677,0.8085,0.611,0.5354,0.5701,0.7067,0.389,0.875,0.8305,0.3049,0.2549,0.3518,0.7329,0.6482,0.797,0.4963,0.8018,0.7006,0.5463,0.4226,0.3957,0.636,0.2415,0.5494,0.3866,0.5921,0.8232,0.3171,0.5726,0.6482,0.4927,0.8171,0.364,0.4567,0.6677,0.5445,0.5628,0.8579,0.8012,0.6207,0.311,0.5463,0.4433,0.7909,0.836,0.289,0.5829,0.4927,0.797,0.5122,0.2951,0.5988,0.6439,0.461,0.4171,0.3104,0.6915,0.1366,0.3433,0.6835,0.5622,0.5756,0.5,0.6372,0.7329,0.422,0.6665,0.5079,0.1823,0.286,0.2573,0.4616,0.3768,0.4189,0.3043,0.1634,0.078,0.4207,0.15,0.1634,0.1024,0.1494,,,,,,,,,,,
2020-03-03,0.4963,0.7982,0.4567,0.5598,0.4482,0.7726,0.5,0.6695,0.7244,0.2372,0.2915,0.497,0.7396,0.697,0.6122,0.4354,0.8384,0.4366,0.6262,0.4939,0.3598,0.5317,0.3915,0.5799,0.35,0.4396,0.7183,0.4518,0.4195,0.7116,0.3805,0.864,0.4232,0.4043,0.6256,0.7256,0.5165,0.8585,0.961,0.7701,0.2134,0.6311,0.6079,0.8207,0.7506,0.2213,0.5329,0.5549,0.7268,0.3982,0.2549,0.7963,0.8311,0.3646,0.4494,0.3433,0.6768,0.1463,0.2457,0.6073,0.6555,0.6463,0.5823,0.625,0.5049,0.4726,0.8268,0.4415,0.2152,0.2244,0.2482,0.4677,0.2268,0.6512,0.3098,0.1091,0.0427,0.5171,0.1835,0.2622,0.1091,0.1909,,,,,,,,,,,
2020-03-04,0.4518,0.7177,0.5829,0.6177,0.1982,0.8494,0.4713,0.6055,0.8073,0.2427,0.2848,0.4744,0.7274,0.7445,0.5305,0.097,0.6549,0.3543,0.528,0.6451,0.3848,0.5341,0.4963,0.8427,0.3256,0.4012,0.4415,0.3116,0.4683,0.5256,0.1707,0.7049,0.3555,0.4098,0.4372,0.5244,0.5085,0.7665,0.8963,0.8994,0.4183,0.6591,0.625,0.9061,0.8555,0.4817,0.4628,0.5878,0.6378,0.5409,0.4518,0.7756,0.8695,0.3841,0.5171,0.228,0.8165,0.2512,0.247,0.5384,0.7878,0.4299,0.4652,0.6024,0.753,0.5476,0.8043,0.5744,0.1421,0.2463,0.4555,0.4701,0.3171,0.6707,0.2378,0.1646,0.164,0.5378,0.1378,0.2061,0.1183,0.4226,,,,,,,,,,,
